test_ID,test_file,success_on_attempt_#
430,dafny-exercise_tmp_tmpouftptir_filter_no_hints.dfy,1
342,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_07_Hoangkim_ex07_Hoangkim_no_hints.dfy,2
196,Dafny_tmp_tmpj88zq5zt_2-Kontrakte_max_no_hints.dfy,1
252,MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p4_no_hints.dfy,1
622,dafny-synthesis_task_id_741_no_hints.dfy,1
184,Dafny_Verify_tmp_tmphq7j0row_dataset_bql_exampls_Square_no_hints.dfy,1
106,Dafny-Grind75_tmp_tmpsxfz3i4r_problems_twoSum_no_hints.dfy,1
505,dafny-synthesis_task_id_14_no_hints.dfy,1
187,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 1_LinearSearch_no_hints.dfy,1
533,dafny-synthesis_task_id_290_no_hints.dfy,1
258,Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex3_no_hints.dfy,1
257,Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex1_no_hints.dfy,1
293,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_pathSum_no_hints.dfy,1
096,Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountEven_no_hints.dfy,1
653,dafny-synthesis_task_id_89_no_hints.dfy,1
551,dafny-synthesis_task_id_426_no_hints.dfy,1
073,Clover_swap_sim_no_hints.dfy,1
433,dafny-exercise_tmp_tmpouftptir_prac1_ex1_no_hints.dfy,1
511,dafny-synthesis_task_id_227_no_hints.dfy,1
575,dafny-synthesis_task_id_557_no_hints.dfy,1
705,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_git-issues_git-issue-283_no_hints.dfy,1
593,dafny-synthesis_task_id_598_no_hints.dfy,1
270,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints.dfy,1
034,Clover_compare_no_hints.dfy,1
618,dafny-synthesis_task_id_70_no_hints.dfy,1
444,dafny-language-server_tmp_tmpkir0kenl_Test_VSI-Benchmarks_b2_no_hints.dfy,1
114,Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,failed
176,Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints.dfy,1
710,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_docs_DafnyRef_examples_Example-Old_no_hints.dfy,1
267,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_pow_no_hints.dfy,1
151,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_IncrementMatrix_no_hints.dfy,1
048,Clover_linear_search2_no_hints.dfy,1
760,t1_MF_tmp_tmpi_sqie4j_exemplos_colecoes_conjuntos_ex5_no_hints.dfy,2
644,dafny-synthesis_task_id_803_no_hints.dfy,2
680,dafny_tmp_tmp59p638nn_examples_realExponent_no_hints.dfy,1
072,Clover_swap_no_hints.dfy,1
510,dafny-synthesis_task_id_18_no_hints.dfy,1
496,dafny-synthesis_task_id_113_no_hints.dfy,1
675,dafny_tmp_tmp49a6ihvk_m4_no_hints.dfy,1
498,dafny-synthesis_task_id_127_no_hints.dfy,1
232,Formal_Verification_With_Dafny_tmp_tmp5j79rq48_Counter_no_hints.dfy,1
083,Correctness_tmp_tmpwqvg5q_4_MethodCalls_q1_no_hints.dfy,3
435,dafny-exercise_tmp_tmpouftptir_prac3_ex2_no_hints.dfy,1
085,Dafny-Exercises_tmp_tmpjm75muf__Session10Exercises_ExerciseBarrier_no_hints.dfy,2
429,dafny-exercise_tmp_tmpouftptir_countNeg_no_hints.dfy,1
690,formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex7_no_hints.dfy,1
536,dafny-synthesis_task_id_304_no_hints.dfy,1
023,Clover_array_concat_no_hints.dfy,1
256,Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex2_no_hints.dfy,1
727,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch04_inductive_chain_no_hints.dfy,1
368,Software-Verification_tmp_tmpv4ueky2d_Remove Duplicates from Sorted Array_remove_duplicates_from_sorted_array_no_hints.dfy,1
165,Dafny_Verify_tmp_tmphq7j0row_Generated_Code_Count_no_hints.dfy,1
127,DafnyProjects_tmp_tmp2acw_s4s_partitionOddEven_no_hints.dfy,1
556,dafny-synthesis_task_id_435_no_hints.dfy,1
174,Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints.dfy,2
071,Clover_swap_in_array_no_hints.dfy,1
704,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_git-issues_git-issue-1158_no_hints.dfy,1
044,Clover_integer_square_root_no_hints.dfy,1
627,dafny-synthesis_task_id_759_no_hints.dfy,1
057,Clover_online_max_no_hints.dfy,1
719,llm-verified-eval_tmp_tmpd2deqn_i_dafny_5_no_hints.dfy,1
515,dafny-synthesis_task_id_238_no_hints.dfy,1
352,SENG2011_tmp_tmpgk5jq85q_ass2_ex5_no_hints.dfy,failed
558,dafny-synthesis_task_id_441_no_hints.dfy,1
355,SENG2011_tmp_tmpgk5jq85q_exam_ex4_no_hints.dfy,2
579,dafny-synthesis_task_id_572_no_hints.dfy,1
412,dafl_tmp_tmp_r3_8w3y_dafny_examples_uiowa_binary-search_no_hints.dfy,1
316,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_CalcExample_no_hints.dfy,1
726,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch03_nim_v3_no_hints.dfy,3
157,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_BinarySearch_no_hints.dfy,1
288,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_heap2_no_hints.dfy,2
249,MFS_tmp_tmpmmnu354t_Testes anteriores_T2_ex5_2020_2_no_hints.dfy,1
526,dafny-synthesis_task_id_268_no_hints.dfy,1
046,Clover_is_palindrome_no_hints.dfy,failed
707,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_git-issues_git-issue-975_no_hints.dfy,1
109,Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_no_hints.dfy,1
278,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_Modules_no_hints.dfy,1
446,dafny-language-server_tmp_tmpkir0kenl_Test_comp_Arrays_no_hints.dfy,1
655,dafny-synthesis_task_id_94_no_hints.dfy,1
